ROW,X,Y,HAZARD 1 IN 30,HAZARD 1 IN 100,HAZARD 1 IN 1000,ELEVATION,SLOPE,LANDUSE,IMPERVIOUSNESS,SOIL TYPE,SUBSTRATE,NDVI,DISTANCE TO RIVER,BUILDING TYPE,DISTANCE TO ROAD
1,295003,79977,1,0,0,,,,,,,,,,
2,295013,76747,2,3,4,25.032,53.5158,,,3,2,0.848905,,6,
3,295023,76747,3,3,4,26.478,75.7392,,0,3,2,0.785549,1.16177,6,0.547038
4,295033,76747,2,3,4,23.149,3.59916,21,19,3,2,0.690754,0.518202,4,2.15255
5,295063,76757,2,2,3,18.509,33.8683,21,0,3,2,0.696057,4.29976,6,7.40981
6,295073,76747,2,3,4,19.251,22.4389,21,0,3,2,0.665931,7.23809,2,4.01183
7,295083,76737,2,3,4,18.089,4.26895,21,0,3,2,0.740758,9.39828,2,7.53503
8,295103,76727,2,2,4,18.994,71.8075,21,0,3,2,0.679098,3.64151,2,2.29
9,295103,76717,1,2,3,24.174,71.4363,21,0,3,2,0.68894,11.1329,2,9.93572
10,295113,76717,2,3,4,18.52,47.6144,21,0,3,2,0.645467,4.50884,6,3.49034
11,295123,76707,2,3,4,19.716,46.0339,21,0,3,2,0.673938,5.37617,6,4.69557
12,295143,76677,2,2,3,20.775,66.9757,21,0,3,2,0.761269,4.92352,2,6.10022
13,295153,76697,2,3,4,19.154,14.3718,21,8,3,2,0.805204,4.66285,6,3.55287
14,295163,76697,2,3,4,28.975,73.2682,21,0,3,2,0.689295,0.648277,6,0.113615
15,295183,76697,1,2,3,19.184,49.4334,21,0,3,2,0.677319,1.46001,2,4.9051
16,295193,76697,2,2,4,17.675,2.92979,21,0,3,2,0.663866,0.957498,2,5.16074
17,295203,76737,2,3,4,18.001,44.61,21,43,14,2,0.630332,12.142,6,14.7892
18,295203,76727,3,3,4,16.731,11.4682,21,0,3,2,0.682682,10.0121,6,11.269
19,295203,76717,2,2,3,17.612,4.49523,21,0,3,2,0.621987,7.88225,2,7.74868
20,295203,76707,2,3,4,17.509,2.50725,21,0,3,2,0.597925,5.75238,6,6.78318
21,295213,76747,3,3,4,16.795,25.4359,21,44,3,2,0.339736,8.63173,6,10.1625
22,295213,76737,1,2,3,17.927,2.69462,21,0,3,2,0.554667,2.37142,2,5.42933
23,295213,76717,1,2,2,18.044,7.70395,21,0,3,2,0.687003,1.88831,2,1.61122
24,295223,76767,1,2,2,17.068,49.3461,21,39,14,2,0.555825,14.3981,2,12.2089
25,295223,76757,2,2,3,17.717,51.5248,21,17,3,2,0.61828,7.77069,2,6.72442
26,295233,76777,2,3,4,22.597,53.9196,21,30,14,2,0.808612,13.5371,6,11.6026
27,295233,76767,1,2,2,21.113,65.5172,21,17,3,2,0.690355,6.90966,2,4.84121
28,295243,76787,2,2,3,18.25,24.7157,21,17,14,2,0.782334,12.6761,6,10.9976
29,295243,76647,2,3,3,24.179,48.1867,,0,3,2,,,6,
30,295253,76787,2,3,3,19.303,67.7451,21,15,3,2,0.764145,5.18759,2,3.63142
31,295253,76647,2,2,3,27.073,75.5574,1,0,3,2,0.589583,68.2957,6,0.664458
32,295263,76597,1,1,2,32.183,68.5087,2,0,3,2,0.866102,114.959,2,48.302
33,295263,76587,2,2,2,25.083,0.413342,1,0,14,2,0.879503,123.778,2,56.5823
34,295273,76797,1,3,3,16.533,30.4675,21,20,3,2,0.754169,5.16877,6,6.7415
35,295273,76587,1,2,2,26.314,64.1544,1,0,14,2,0.80609,128.63,2,50.7291
36,295273,76577,2,2,2,25.052,5.59827,1,0,14,2,0.653114,137.299,4,47.8346
37,295273,76567,1,1,2,25.177,1.95999,1,0,14,2,0.583778,146.138,2,38.1661
38,295283,76797,2,3,3,22.57,21.8494,21,17,3,2,0.7474,3.52355,2,6.03066
39,295283,76587,1,1,2,27.826,10.008,1,0,14,2,0.720322,134.053,2,40.811
40,295283,76577,1,1,2,25.108,9.38317,1,0,14,2,0.66109,142.392,4,42.0884
41,295303,76787,3,3,3,32.972,61.005,21,0,3,2,0.73111,2.99436,6,2.11749
42,295313,76787,1,2,3,17.168,7.89655,21,0,3,2,0.683824,0.146638,2,1.59789
43,295323,76777,1,2,3,23.822,67.34,21,0,3,2,0.671606,6.88487,6,3.97347
44,295323,76527,1,1,2,27.355,3.76491,21,35,14,2,0.653584,206.158,4,7.7348
45,295323,76517,1,2,3,27.915,4.02544,21,0,14,2,0.693496,214.491,4,2.24457
46,295323,76507,2,2,3,28.29,16.4828,21,28,2,1,0.674199,222.961,4,5.1019
47,295333,76777,1,2,3,22.651,75.8665,21,0,3,2,0.627934,4.03715,6,0.262707
48,295333,76477,1,2,2,29.829,33.7787,21,68,2,1,0.270449,253.875,4,7.69455
49,295343,76707,2,2,3,22.205,3.33177,21,49,3,2,0.470769,68.2911,4,4.33244
50,295343,76447,1,1,2,31.243,3.94831,21,53,2,1,0.41491,284.944,4,5.95558
51,295343,76007,2,2,3,66.042,2.3454,,28,2,1,0.599114,,2,
52,295343,75997,1,2,3,66.101,1.35287,,,2,1,,,2,
53,295353,76767,1,1,3,17.512,50.5373,21,0,3,2,0.718033,7.92767,6,2.12721
54,295363,76767,3,3,3,16.159,41.6835,21,0,3,2,0.677517,5.07995,6,0.841027
55,295373,76897,1,2,2,26.476,9.6627,21,81,14,2,0.393825,122.385,4,8.78356
56,295373,76837,3,3,3,21.097,64.5714,21,55,14,2,0.337955,64.8694,2,7.37859
57,295373,76827,3,3,3,20.903,67.5757,21,54,14,2,0.253886,55.2835,2,17.2855
58,295383,76657,1,1,2,23.362,21.8077,21,68,14,2,0.534704,109.579,4,7.19586
59,295383,76647,1,1,3,23.325,2.63902,21,68,14,2,0.418033,119.578,4,6.39864
60,295393,76777,1,1,3,15.63,31.2317,21,0,3,2,0.73344,5.4224,6,9.22133
61,295393,76697,1,1,2,21.721,19.9713,21,42,14,2,0.66725,70.3993,4,10.9014
62,295393,76687,1,1,2,22.063,3.67552,21,59,14,2,0.58034,80.2968,4,6.80178
63,295393,76677,1,1,1,22.709,56.0811,21,79,14,2,0.491468,90.217,4,1.89
64,295403,76847,1,3,3,20.904,29.0624,21,72,14,2,0.740506,66.0065,4,3.00603
65,295403,76777,2,3,3,15.228,26.207,21,0,3,2,0.738611,1.52922,6,4.12203
66,295413,76787,3,3,4,15.249,3.67254,21,13,3,2,0.662239,6.84707,6,7.27009
67,295433,76797,1,2,3,16.635,66.5484,21,36,3,2,0.631496,8.27175,6,1.90349
68,295443,76797,1,3,3,19.784,77.3552,21,36,3,2,0.673152,4.37857,6,7.5788
69,295453,76797,1,3,3,14.23,28.6418,21,0,3,2,0.617363,3.55238,2,8.74251
70,295463,76607,1,1,1,24.129,77.2431,20,74,14,2,0.288426,178.417,2,18.0975
71,295463,76597,1,2,3,23.126,79.8782,20,65,14,2,0.255611,187.628,2,28.0948
72,295483,76787,2,3,3,14.945,43.1325,21,0,3,2,0.792127,2.17735,6,0.823136
73,295493,76787,3,3,4,28.924,51.7645,21,0,3,2,0.722276,0.786336,6,1.56254
74,295493,76717,1,2,3,19.571,30.8696,21,43,14,2,0.651948,70.1058,2,13.5477
75,295493,76597,2,3,3,24.564,47.8804,21,61,14,2,0.328487,188.939,2,29.4065
76,295493,76567,1,1,3,25.174,1.49009,21,24,2,1,0.817367,218.585,2,17.6698
77,295493,76507,1,1,1,28.737,3.03738,21,28,2,1,0.611846,274.45,4,0.499738
78,295493,76467,1,2,2,32.227,0.977774,21,82,2,1,0.193651,311.693,2,13.0489
79,295503,76787,3,3,4,24.688,73.6197,21,0,3,2,0.647059,0.60468,6,2.30195
80,295503,76727,1,2,2,18.707,57.3512,21,37,14,2,0.64476,58.812,4,0.541944
81,295503,76717,1,2,3,18.747,0.982547,21,41,14,2,0.529482,68.7148,4,5.89394
82,295503,76507,1,1,2,28.764,0.865885,21,29,2,1,0.62098,270.802,4,1.72802
83,295513,76787,2,3,3,28.103,72.9886,21,0,3,2,0.725719,1.9957,6,3.04135
84,295513,76717,1,2,3,18.731,1.06654,21,28,14,2,0.6496,67.3238,4,0.200927
85,295513,76557,1,1,1,29.187,66.3806,21,25,2,1,0.670188,220.6,2,0.0930375
86,295523,76787,1,3,4,26.126,82.1581,21,0,3,2,0.708193,3.38671,6,4.73131
87,295523,76547,2,2,3,26.186,29.5489,21,36,2,1,0.664202,226.262,2,4.70409
88,295533,76577,1,1,3,24.879,0.664454,21,62,2,1,0.383051,194.682,4,8.30296
89,295533,76497,1,1,2,28.797,4.75923,21,37,2,1,0.697608,269.168,4,1.25808
90,295543,76777,1,3,4,27.309,49.6446,21,0,3,2,0.600526,3.73404,6,1.25051
91,295543,76497,1,2,3,28.821,1.53996,21,37,2,1,0.486497,265.52,4,1.02329
92,295553,76777,3,3,4,24.042,71.6037,21,0,3,2,0.604278,1.16981,6,6.98043
93,295553,76497,1,2,2,30.055,60.2918,21,34,2,1,0.61933,261.871,4,2.8519
94,295563,76497,1,2,3,29.16,1.85399,21,34,2,1,0.583405,258.223,4,1.81264
95,295563,76487,1,1,1,30.376,6.7504,21,34,2,1,0.669088,267.534,2,0.0093834
96,295573,76767,2,3,4,19.056,29.9912,21,0,3,2,0.677005,3.18412,6,5.29434
97,295573,76487,1,1,1,30.348,8.91754,21,26,2,1,0.816114,263.886,2,7.25751
98,295583,76477,1,1,2,31.02,2.7389,21,0,2,1,0.884024,269.548,2,17.7908
99,295593,76757,3,3,4,23.113,15.1409,21,0,3,2,0.717647,5.19844,6,3.60825
100,295593,76467,1,1,2,31.644,2.36805,21,0,2,1,0.913175,275.211,2,25.748
101,295593,76457,1,1,2,32.002,2.43484,21,0,2,1,0.928244,284.522,2,23.8811
102,295603,76757,2,3,4,12.01,7.63019,21,0,3,2,0.741722,1.55021,6,7.39322
103,295613,76747,3,3,4,,,21,0,3,2,0.833549,7.21275,6,1.92216
104,295613,76417,1,1,2,34.22,10.1922,21,15,2,1,0.814855,314.468,2,5.53598
105,295613,76407,1,1,2,35.043,36.2712,21,0,2,1,0.676707,323.779,2,6.16629
106,295613,76397,1,2,3,35.416,13.7839,21,23,2,1,0.733409,333.09,2,6.79659
107,295613,76387,1,2,4,35.963,10.2349,21,30,2,1,0.746224,342.4,2,7.4269
108,295613,76377,2,2,4,36.579,3.36675,21,42,2,1,0.676768,351.711,2,8.0572
109,295613,76367,1,1,3,37.26,4.86131,21,42,2,1,0.578808,361.022,4,1.98195
110,295613,75947,3,3,3,47.407,71.2557,1,0,12,1,0.705606,759.106,2,56.1057
111,295623,76747,1,3,4,13.821,,21,16,3,2,0.746501,3.56452,6,5.70713
112,295623,75947,2,3,3,47.453,3.94342,1,0,12,1,0.67392,756.818,2,49.3994
113,295633,76827,1,1,2,16.644,2.68811,21,95,14,2,0.29445,74.5699,2,11.4691
114,295633,76817,2,2,3,16.558,34.6763,21,90,14,2,0.328358,65.2591,2,10.0216
115,295633,76737,1,3,4,22.158,69.972,21,20,3,2,0.737265,9.22706,6,0.0379159
116,295643,76817,1,1,2,16.682,1.12181,21,100,14,2,0.239404,68.9073,2,17.5725
117,295643,76737,1,3,4,15.683,53.3305,21,20,3,2,0.567568,5.57883,6,4.62816
118,295653,76727,1,3,4,13.456,77.1483,21,0,3,2,0.789233,11.2414,6,0.290341
119,295653,76657,3,3,3,22.628,8.241,21,35,14,2,0.785714,76.4167,6,7.92367
120,295663,76727,3,3,4,11.887,34.5849,21,22,3,2,0.831325,7.59314,6,4.62041
121,295663,76657,2,3,3,25.228,29.3845,21,29,14,2,0.775557,72.7685,2,12.0052
122,295663,76637,1,1,2,20.011,6.1098,21,32,14,2,0.672209,91.3901,2,6.0179
123,295683,76717,3,3,4,9.735,,21,20,3,2,0.550251,9.60745,6,1.44476
124,295703,76707,3,3,4,13.147,37.2147,21,34,3,2,0.594747,11.6218,6,1.73088
125,295713,76707,1,3,4,9.897,29.6942,21,46,3,2,0.343666,7.97353,6,1.42567
126,295733,76697,3,3,4,12.372,47.042,21,39,3,2,0.677985,9.98784,6,1.91518
127,295743,76697,1,3,4,,,21,40,3,2,0.496549,6.33961,6,0.972746
128,295743,76597,3,3,3,23.811,44.8066,21,48,14,2,0.341713,99.4473,2,16.8426
129,295753,76597,1,2,2,21.939,28.9464,21,48,14,2,0.269648,95.7991,2,18.3597
130,295753,75937,1,2,3,42.296,1.61026,21,46,3,2,0.511306,748.413,2,4.66961
131,295753,75927,1,2,3,42.276,3.8673,21,23,3,2,0.652812,758.378,2,14.634
132,295763,75947,1,2,3,48.237,72.3301,21,42,3,2,0.434634,737.603,2,4.6861
133,295763,75937,2,3,3,42.163,0.992145,21,42,3,2,0.468318,747.567,2,5.30003
134,295763,75927,2,3,3,42.097,0.938406,21,21,3,2,0.729059,757.531,2,15.2862
135,295763,75627,2,3,3,48.65,7.14423,21,57,14,2,0.565472,1056.46,4,4.27177
136,295763,75617,2,2,3,48.514,2.70729,21,50,14,2,0.5543,1066.42,4,5.26813
137,295773,79997,1,0,0,,,,,,,,,,
138,295773,76687,3,4,4,11.637,56.7149,21,38,3,2,0.679377,4.70569,6,0.0625962
139,295773,75947,1,2,3,42.265,21.7521,21,0,3,2,0.453704,736.757,2,4.15957
140,295773,75937,2,3,3,42.191,0.979803,21,0,3,2,0.563046,746.721,2,5.82656
141,295773,75927,1,2,3,42.237,1.47189,21,0,3,2,0.784021,756.685,2,15.8127
142,295773,75617,1,1,3,48.938,4.4664,21,35,14,2,0.434801,1065.57,4,2.26975
143,295773,75607,1,1,3,48.907,2.04728,21,57,14,2,0.528948,1075.54,4,1.23997
144,295783,76687,3,4,4,,,21,42,3,2,0.413904,1.05746,6,2.10127
145,295783,75947,1,2,3,42.292,0.912898,21,0,3,2,0.725055,735.911,2,0.726127
146,295793,76687,3,4,4,,,21,57,3,2,0.396484,2.28191,2,3.54671
147,295793,75947,1,2,3,42.24,1.01953,21,0,3,2,0.876455,735.065,2,9.27292
148,295793,75937,1,2,3,42.244,1.14245,21,0,3,2,0.837703,745.029,2,11.3074
149,295803,76687,3,3,4,15.503,71.6748,21,48,3,2,0.347295,3.12792,2,4.99214
150,295803,75947,2,3,3,42.045,1.73999,21,0,3,2,0.920836,734.219,2,16.8974
151,295803,75937,2,3,3,42.206,1.19723,21,0,3,2,0.958333,744.183,2,20.3551
152,295823,76617,1,1,2,24.477,73.6772,21,0,14,2,0.762456,64.9291,6,3.86088
153,295833,76677,1,3,4,10.239,30.7198,21,28,3,2,0.709924,4.29822,2,1.21647
154,295843,76777,1,1,2,17.137,1.02008,20,83,14,2,0.341869,96.1893,4,0.430065
155,295843,76677,3,3,4,14.1,75.7727,21,31,3,2,0.382274,3.45222,6,0.730207
156,295853,76787,1,1,2,17.18,0.459298,20,91,14,2,0.291237,106.999,4,4.5953
157,295853,76677,3,3,4,10.785,78.263,20,31,3,2,0.215064,2.60621,6,0.243945
158,295863,78267,1,2,3,13.559,42.3293,1,0,3,2,0.744115,6.14092,2,7.39303
159,295863,76717,1,1,3,12.105,70.9299,20,95,3,2,0.235928,38.0964,4,1.41457
160,295863,76677,3,3,4,8.196,0.588866,20,37,3,2,0.117877,1.76021,6,0.242316
161,295863,76607,2,2,3,19.462,38.4345,21,0,14,2,0.734306,71.5093,2,9.73839
162,295873,76677,2,3,4,8.166,0.314672,20,51,3,2,0.177697,0.914203,6,0.728578
163,295893,76717,1,1,3,9.95,1.25485,20,98,3,2,0.14557,40.6344,4,2.13643
164,295893,75937,2,2,2,37.815,24.9609,21,0,3,2,0.84059,738.27,2,9.37309
165,295903,78287,2,2,3,15.633,34.3555,1,0,3,2,0.802848,10.2151,2,6.84885
166,295903,76677,3,4,4,10.272,1.02314,21,37,3,2,0.404677,1.62381,4,1.045
167,295913,76677,3,4,4,7.598,0.684128,20,69,3,2,0.344218,1.68814,6,0.485988
168,295923,76677,3,4,4,7.626,2.73108,20,83,3,2,0.350144,1.49665,6,1.00525
169,295933,76677,3,4,4,7.66,61.6076,20,82,3,2,0.33946,1.30517,6,0.985379
170,295943,76677,3,4,4,7.523,1.41842,20,75,3,2,0.539468,1.11368,6,0.965506
171,295953,76677,3,3,4,7.523,0.480345,20,67,3,2,0.399286,0.922194,6,0.945634
172,295953,75897,2,2,3,35.168,33.8772,21,23,12,1,0.356662,778.935,2,25.498
173,295963,76677,3,3,4,7.505,1.04102,20,64,3,2,0.265165,0.730708,6,0.925761
174,295973,76677,3,3,4,7.509,0.205105,21,41,3,2,0.533157,0.539221,6,0.905888
175,295983,76677,3,4,4,7.037,11.3415,21,41,3,2,0.674326,0.347734,6,0.886016
176,295983,75947,3,3,3,31.127,65.4559,21,0,3,2,0.41502,729.518,2,58.269
177,295993,76847,2,2,2,19.72,68.9693,20,63,2,1,0.266136,170.125,2,12.2432
178,295993,76677,3,3,4,7.087,0.935992,21,33,3,2,0.681267,0.156248,6,0.866143
179,296003,76847,2,2,2,16.65,64.2788,20,71,2,1,0.38758,169.934,2,4.21965
180,296003,76677,2,3,4,7.045,0.259451,21,49,3,2,0.72053,0.0352389,6,0.846271
181,296013,76677,2,3,4,7.04,0.405144,21,42,3,2,0.639252,0.226726,6,0.826398
182,296023,76677,2,2,4,7.04,0.442198,21,42,3,2,0.548892,0.418212,6,0.806526
183,296033,76677,3,3,4,6.51,3.41151,21,33,3,2,0.545455,0.609699,6,0.740249
184,296043,76677,1,3,4,6.514,3.67795,21,27,3,2,0.569482,0.801186,6,0.624189
185,296053,76677,1,3,4,6.507,0.865729,21,27,3,2,0.529907,0.992672,6,0.508129
186,296053,75997,3,3,3,5.643,4.18604,1,0,2,1,0.804049,680.868,2,4.5129
187,296053,75987,2,3,3,5.664,2.71774,19,0,2,1,0.806846,690.866,2,1.68132
188,296053,75977,2,3,3,5.911,13.3281,19,0,2,1,0.75804,700.864,2,1.15026
189,296053,75957,2,3,3,6.277,5.13035,19,0,3,2,0.434243,720.861,3,3.20942
190,296063,75997,2,3,3,6.103,3.16488,1,0,2,1,0.71087,681.06,3,5.07783
191,296073,76677,2,3,3,10.923,66.5395,21,36,3,2,0.570118,1.37565,6,0.276009
192,296083,78577,1,2,2,5.03,27.2474,4,0,3,2,0.693188,142.996,2,50.1352
193,296083,76677,3,3,4,5.85,7.65753,21,36,3,2,0.646432,1.56713,6,0.159949
194,296103,78567,1,1,2,5.736,30.5707,3,0,3,2,0.783656,121.293,2,68.4043
195,296113,76677,1,3,4,5.485,24.2322,21,25,3,2,0.54886,2.14159,6,0.188231
196,296113,76557,1,1,2,15.799,3.66113,21,54,12,1,0.304348,122.12,2,37.3747
197,296123,76647,1,2,3,6.756,0.487869,20,70,3,2,0.442308,32.3276,2,16.8477
198,296123,76557,2,2,3,20.622,31.814,21,63,12,1,0.260274,122.311,2,33.3523
199,296133,78557,1,1,3,4.545,22.1244,4,0,3,2,0.756178,91.9854,2,76.2396
200,296143,78547,1,1,3,3.775,6.12159,4,0,3,2,0.679245,77.8869,2,81.6374
201,296143,76647,1,2,3,6.738,0.25644,20,68,3,2,0.352132,32.7106,2,17.4634
202,296153,77697,2,2,3,20.83,2.25455,21,100,12,1,0.0981941,629.514,2,27.0226
203,296153,76677,2,3,4,17.4,60.3285,21,40,3,2,0.650633,2.90754,6,0.65247
204,296153,76647,1,2,3,6.819,0.523271,20,51,3,2,0.406938,32.902,2,11.962
205,296153,76417,1,1,2,21.934,5.33692,21,55,12,1,0.44402,262.86,4,6.60454
206,296163,78537,1,1,3,4.125,10.071,3,0,3,2,0.635728,56.184,2,60.0113
207,296163,77707,2,3,3,20.47,2.15062,21,94,12,1,0.129672,624.41,2,24.5197
208,296163,76677,3,3,4,5.287,15.0108,21,29,3,2,0.806913,3.09903,6,0.76853
209,296173,76677,1,3,4,5.176,47.1631,21,20,3,2,0.629559,3.29051,6,0.812607
210,296173,76447,1,1,2,19.547,21.1061,20,91,12,1,0.354839,233.161,4,0.711806
211,296183,78527,1,1,3,3.871,2.00239,3,0,3,2,0.701596,34.4812,2,38.3853
212,296183,78517,1,1,2,3.924,5.80431,3,0,3,2,0.74428,27.9871,2,31.7863
213,296193,78517,2,2,3,4.275,2.26093,3,0,3,2,0.730931,20.3827,2,24.2728
214,296193,77587,1,1,2,25.15,54.8538,21,78,12,1,0.250646,746.402,4,18.4035
215,296193,77577,1,2,3,25.003,26.3074,21,59,12,1,0.347253,755.635,2,11.8984
216,296193,76677,1,3,4,4.48,2.55926,21,47,3,2,0.537888,3.67349,6,0.838378
217,296193,76477,1,1,1,17.119,4.2277,20,100,12,1,0.0955414,199.745,4,8.71688
218,296203,77567,1,1,3,25.157,13.4134,21,89,12,1,0.436667,768.714,2,17.3947
219,296203,76677,3,3,4,4.481,0.211504,21,44,3,2,0.601386,1.83524,6,1.66387
220,296203,76487,1,1,1,16.059,3.75811,20,96,12,1,0.2375,187.934,4,6.5736
221,296203,76457,2,2,2,5.115,43.307,20,58,12,1,0.513784,217.319,2,11.4415
222,296203,76447,1,1,2,10.167,73.502,20,90,12,1,0.51938,227.113,2,17.5695
223,296213,76677,2,3,4,4.482,0.115497,21,45,3,2,0.580286,0.180676,6,2.48936
224,296223,78057,1,1,3,11.674,0.179212,3,0,3,2,0.625,342.075,2,15.9499
225,296223,77577,1,2,2,25.075,0.669739,20,64,12,1,0.372449,767.586,2,39.2137
226,296223,76677,1,3,4,4.628,12.0465,21,67,3,2,0.499083,2.19659,6,3.31485
227,296233,76677,3,3,4,3.883,0.679285,20,55,3,2,0.501572,4.21251,6,4.14035
228,296233,76667,1,3,4,4.021,7.46365,20,88,3,2,0.393468,5.58218,6,0.677034
229,296233,76447,1,2,3,4.713,1.61678,20,100,12,1,0.241625,219.326,4,4.77595
230,296243,78517,1,2,3,3.616,3.63068,3,0,3,2,0.716394,4.21736,2,7.76663
231,296243,78157,1,2,3,10.942,44.7588,4,0,3,2,0.791774,269.121,2,9.56956
232,296243,78147,2,3,3,9.34,16.087,3,0,3,2,0.73913,276.985,2,5.22199
233,296243,78137,1,2,3,9.613,18.4924,3,0,3,2,0.719392,284.856,2,0.874419
234,296243,76677,2,3,4,3.884,1.1214,20,56,3,2,0.530151,6.22843,6,2.19134
235,296243,76667,3,3,4,3.866,0.742912,20,88,3,2,0.215352,3.56626,6,1.50982
236,296243,76457,1,2,3,4.784,4.46961,21,100,12,1,0.0945427,205.798,4,2.07288
237,296253,76667,2,3,4,3.877,0.40528,21,80,3,2,0.258475,1.55035,6,2.08784
238,296253,76477,1,2,3,4.852,3.67589,20,100,12,1,0.145455,183.445,4,3.64245
239,296263,76667,1,3,4,3.884,0.85564,21,75,3,2,0.384615,0.465573,6,0.654197
240,296263,76487,1,2,3,4.724,3.78647,20,100,14,2,0.16077,169.917,4,2.77258
241,296273,78517,2,2,3,3.183,47.6273,3,0,3,2,0.706385,2.61677,2,5.39007
242,296273,78207,2,3,3,8.731,43.8918,3,0,3,2,0.758621,248.337,2,4.29098
243,296273,76697,1,1,3,4.768,0.724818,20,100,3,2,0.180688,31.8656,4,0.0273129
244,296273,76667,3,3,4,3.425,1.97977,20,78,3,2,0.451713,2.48149,6,3.54186
245,296273,76507,2,2,3,4.714,10.6654,20,100,14,2,0.0905983,147.564,4,6.26858
246,296283,78517,1,1,3,3.203,0.58449,3,0,3,2,0.674376,2.08325,2,4.75218
247,296283,78507,2,3,3,3.211,76.1233,1,0,3,2,0.719545,7.90251,2,5.22745
248,296283,76687,1,1,3,4.758,0.95548,20,100,3,2,0.204204,24.0868,4,1.30761
249,296283,76657,3,3,4,5.045,2.71503,20,79,3,2,0.235357,5.29729,4,0.499298
250,296283,76527,2,2,3,4.674,1.81451,20,100,14,2,0.125089,125.211,4,9.7642
251,296283,76517,2,2,3,4.618,6.10399,20,100,14,2,0.104101,134.036,4,3.94904
252,296293,78517,2,3,3,2.902,9.50618,3,0,3,2,0.684211,1.54972,2,4.1143
253,296293,78507,2,2,3,3.198,53.5056,19,0,3,2,0.710491,8.43604,2,5.86533
254,296293,78287,1,2,3,7.097,6.76472,21,0,3,2,0.66353,205.025,4,20.4211
255,296293,76657,3,3,4,,,20,96,3,2,0.295499,3.28137,6,0.106674
256,296293,76537,2,3,3,4.731,1.50313,20,100,14,2,0.104392,111.683,4,7.44292
257,296303,78507,2,3,3,3.202,4.751,19,0,3,2,0.721252,8.96957,2,6.50321
258,296303,78377,1,1,3,5.347,18.0737,3,0,3,2,0.692641,138.784,2,51.105
259,296303,78367,1,1,3,5.307,58.8854,4,0,3,2,0.659864,148.77,2,46.8768
260,296303,76657,2,3,4,3.914,,20,82,3,2,0.552347,1.07829,6,3.15165
261,296303,76557,1,2,3,4.703,9.88019,20,100,14,2,0.118166,89.3295,4,11.2936
262,296303,76547,2,3,3,4.488,9.19565,20,100,14,2,0.0861813,98.1546,4,5.12165
263,296313,78517,3,3,3,2.797,29.5952,3,0,3,2,0.734586,0.482658,2,2.83854
264,296313,78507,2,3,3,3.508,17.2002,19,0,3,2,0.721422,9.5031,2,4.45619
265,296313,78497,2,2,3,3.331,1.53846,19,0,3,2,0.684035,19.4889,2,4.44637
266,296313,76647,2,3,4,,,20,64,3,2,0.296744,5.20051,6,2.42263
267,296313,76567,1,2,3,4.751,4.91227,20,100,3,2,0.133515,75.8014,4,5.82902
268,296323,78507,2,3,3,7.481,70.4778,19,0,3,2,0.766954,10.0366,2,0.0787119
269,296323,78497,2,2,3,3.739,16.4394,19,0,3,2,0.717895,20.0224,2,9.00098
270,296323,78487,3,3,3,3.801,6.29371,19,0,3,2,0.680151,30.0081,2,17.9035
271,296323,78477,2,2,3,3.909,18.6498,19,0,3,2,0.699079,39.9939,2,26.8061
272,296323,76647,3,3,4,,,20,60,3,2,0.241975,0.497603,6,1.33579
273,296333,76647,3,3,4,3.726,10.0574,20,60,3,2,0.503218,4.2053,2,2.98842
274,296333,76637,3,3,4,3.067,11.5445,20,71,3,2,0.500717,4.61982,6,1.95861
275,296343,78527,1,1,3,5.016,28.133,19,0,3,2,0.72557,1.77586,2,7.69007
276,296343,76637,3,4,4,2.25,15.0691,20,53,3,2,0.384512,0.0830882,6,2.01008
277,296353,76627,4,4,4,4.068,1.62683,20,82,3,2,0.175415,4.03912,4,0.997312
278,296353,76617,2,3,4,3.447,9.34035,20,100,3,2,0.107259,12.8642,2,0.418402
279,296363,78527,3,3,3,3.193,61.6039,19,0,3,2,0.763632,2.43149,2,0.156255
280,296363,78517,1,2,3,3.101,1.54525,19,0,3,2,0.748909,12.0421,2,7.365
281,296363,78507,1,2,3,3.22,2.39324,4,0,3,2,0.67448,21.6527,2,16.9893
282,296363,76627,3,3,4,3.359,3.93529,20,100,3,2,0.235772,0.663779,2,1.6102
283,296373,78537,2,3,3,2.932,5.54356,3,0,3,2,0.740026,9.94253,2,4.69882
284,296373,78527,2,3,3,2.872,16.4846,19,0,3,2,0.747544,0.331939,2,0.456164
285,296373,78517,1,2,3,3.321,5.11098,19,0,3,2,0.716992,9.27865,2,9.90815
286,296373,78507,2,3,3,2.982,1.7412,3,0,3,2,0.597298,18.8892,2,18.2801
287,296373,78497,1,2,3,2.989,1.92332,3,0,3,2,0.599392,28.4998,2,26.6521
288,296373,77257,1,1,2,29.35,2.48083,21,35,12,1,0.671088,600.528,4,1.14669
289,296383,78537,1,2,3,2.924,1.2483,3,0,3,2,0.73494,12.706,2,0.273738
290,296383,78517,3,3,3,3.523,15.9403,19,0,3,2,0.70266,6.51522,2,4.43913
291,296383,78507,2,3,3,2.926,0.326181,3,0,3,2,0.603045,16.1258,2,12.8111
292,296383,78497,2,3,3,2.844,0.0709027,3,0,3,2,0.521127,25.7364,2,21.2436
293,296383,76717,1,1,2,9.999,74.3628,21,27,14,2,0.775491,89.4956,1,14.1909
294,296393,78537,2,3,3,2.86,1.84385,3,0,3,2,0.72091,15.4694,2,4.15134
